CNAE	Setor / Indústria	Categoria
4785-7/99	Comércio	Comércio Varejista
4789-0/01	Comércio	Comércio Varejista
4789-0/02	Comércio	Comércio Varejista
4789-0/03	Comércio	Comércio Varejista
4789-0/04	Comércio	Comércio Varejista
4789-0/05	Comércio	Comércio Varejista
4789-0/06	Comércio	Comércio Varejista
4789-0/07	Comércio	Comércio Varejista
4789-0/08	Comércio	Comércio Varejista
4789-0/09	Comércio	Comércio Varejista
4789-0/99	Comércio	Comércio Varejista
4911-6/00	Logística	Transp.  Ferroviário de Carga
4912-4/01	Logística	Transp.  Ferrov. de Passageiros
4912-4/02	Logística	Transp.  Ferrov. de Passageiros
4912-4/03	Logística	Transp.   Ferroviário  de  Passageiros    
4921-3/01	Logística	Transp.   Metroviário de  Passageiros    
4921-3/02	Logística	Transp.   Rod.  de  Coletivo       
4922-1/01	Logística	Transp.   Rod.  de  Coletivo       
4922-1/02	Logística	Transp.   Rod.  de  Coletivo       
4922-1/03	Logística	Transp.   Rod.  de  Coletivo       
4923-0/01	Logística	Transp.  Táxi           
4923-0/02	Logística	Transp.   Rod. de  Locação        
4924-8/00	Logística	Transp.   Rod.        
4929-9/01	Logística	Transp.   Rod.
4929-9/02	Logística	Transp.   Rod.  de  Fretamento     
4929-9/03	Logística	  Rodoviário  de  Excursões      
4929-9/04	Logística	  Rodoviário  de  Excursões      
4929-9/99	Logística	  Rodoviário  de  Outros         
4930-2/01	Logística	  Rodoviário de Carga
4930-2/02	Logística	  Rodoviário de Carga
4930-2/03	Logística	  Rodoviário de Carga
4930-2/04	Logística	  Rodoviário de Carga
4940-0/00	Logística	  Dutoviário 
4950-7/00	Logística	Ferroviário de Turísticos
5011-4/01	Logística	Marít. Cabotagem - Carga
5011-4/02	Logística	Marít. Cabotagem - Passageiros
5012-2/01	Logística	Transporte Marítimo
5012-2/02	Logística	Transporte Marítimo
5021-1/01	Logística	Transporte Fluvial
5021-1/02	Logística	Transporte Fluvial
5022-0/01	Logística	Transporte Fluvial
5022-0/02	Logística	Transporte Fluvial
5030-1/01	Logística	Transporte Marítimo
5030-1/02	Logística	Transporte Marítimo
5030-1/03	Logística	Transporte Marítimo
5091-2/01	Logística	Transporte Marítimo
5091-2/02	Logística	Transporte Marítimo
5099-8/01	Logística	Transporte Aquaviário
5099-8/99	Logística	Transporte Aquaviário
5111-1/00	Logística	Transporte Aéreo
5112-9/01	Logística	Transporte Aéreo
5112-9/99	Logística	Transporte Aéreo
5120-0/00	Logística	Transporte Aéreo de Carga
5130-7/00	Logística	Transporte Espacial
5211-7/01	Logística	 Armazéns Gerais e Warrant 
5211-7/02	Logística	Armaz. Guarda-móveis 
5211-7/99	Logística	Armaz. Depósit.de Mercadorias 
5212-5/00	Logística	 Carga e Descarga 
5221-4/00	Logística	Infraestrutura Transporte
5222-2/00	Logística	Infraestrutura Transporte
5223-1/00	Logística	Serviços Gerais
5229-0/01	Logística	Serviços Gerais
5229-0/02	Logística	Serviços Gerais
5229-0/99	Logística	Serviços Gerais
5231-1/01	Logística	Administração  Potuaria
5231-1/02	Logística	Infraestrutura Portuária
5232-0/00	Logística	Infraestrutura Portuária
5239-7/01	Logística	Infraestrutura Portuária
5239-7/99	Logística	Infraestrutura Portuária
5240-1/01	Logística	Infraestrutura Aeroportuária
5240-1/99	Logística	Operações Aeroportuária
5250-8/01	Logística	Serviços Despachos Aduaneiros
5250-8/02	Logística	Serviços Despachos Aduaneiros
5250-8/03	Logística	Serviços Despachos Aduaneiros
5250-8/04	Logística	Serviços Despachos Aduaneiros
5250-8/05	Logística	Serviços Despachos Aduaneiros
5310-5/01	 Correios                             	 Atividades do Correio Nacional 
5310-5/02	 Correios                             	 Franqueadas e Permissionárias 
5320-2/01	 Correios                             	Malote
5320-2/02	 Correios                             	Express
5510-8/01	 Hospedagem                           	 Hotéis             
5510-8/02	 Hospedagem                           	 Apart-hotéis       
5510-8/03	 Hospedagem                           	 Motéis             
5590-6/01	 Hospedagem                           	 Albergues          
5590-6/02	 Hospedagem                           	 Campings           
5590-6/03	 Hospedagem                           	 Pensões            
5590-6/99	 Outros Alojamentos                  	Não especificos
5611-2/01	 Alimentação Fora do Lar             	Serviços
5611-2/02	 Alimentação Fora do Lar             	Serviços
5611-2/03	 Alimentação Fora do Lar             	Serviços
5612-1/00	 Alimentação Fora do Lar             	Serviços
5620-1/01	 Alimentação Fora do Lar             	Serviços
5620-1/02	 Alimentação Fora do Lar             	Serviços
5620-1/03	 Alimentação Fora do Lar             	Serviços
5620-1/04	 Alimentação Fora do Lar             	Serviços
5811-5/00	 Editoras                             	Serviços
5812-3/01	 Editoras                             	Serviços
5812-3/02	 Editoras                             	Serviços
5813-1/00	 Edição e Impressão                   	Serviços
5819-1/00	 Edição e Impressão                   	Serviços
5821-2/00	 Edição e Impressão                   	Serviços
5822-1/01	 Edição e Impressão                   	Serviços
5822-1/02	 Edição e Impressão                   	Serviços
5823-9/00	 Edição e Impressão                   	Serviços
5829-8/00	 Edição e Impressão                   	Serviços
5911-1/01	 Edição e Impressão                   	Serviços
5911-1/02	 Edição e Impressão                   	Serviços
5911-1/99	 Edição e Impressão                   	Serviços
5912-0/01	 Estúdios cinematográficos            	Serviços
5912-0/02	 Estúdios cinematográficos            	Serviços
5912-0/99	 Estúdios cinematográficos            	Serviços
5913-8/00	 Estúdios cinematográficos            	Serviços
5914-6/00	 Estúdios cinematográficos            	Serviços
5920-1/00	 Estúdios cinematográficos            	Serviços
6010-1/00	 Estúdios cinematográficos            	Serviços
6021-7/00	 Estúdios cinematográficos            	Serviços
6022-5/01	 Música                               	Serviços
6022-5/02	 Comunicação                          	Serviços
6110-8/01	 Comunicação                          	Serviços
6110-8/02	 Comunicação                          	Serviços
6110-8/03	 Comunicação                          	Serviços
6110-8/99	 Telecomunicações                     	Serviços
6120-5/01	 Telecomunicações                     	Serviços
6120-5/02	 Telecomunicações                     	Serviços
6120-5/99	 Telecomunicações                     	Serviços
6130-2/00	 Telecomunicações                     	Serviços
6141-8/00	 Telecomunicações                     	Serviços
6142-6/00	 Telecomunicações                     	Serviços
6143-4/00	 Telecomunicações                     	Serviços
6190-6/01	 Telecomunicações                     	Serviços
6190-6/02	 Telecomunicações                     	Serviços
6190-6/99	 Telecomunicações                     	Serviços
6201-5/01	 Internet                             	Serviços
